中文,#genre#
🌲️松視1台, http://18.svi-studio.com:8880/live/584830114073/800309151021/5.m3u8
🌲️松視1台, http://z02.ubtvfans.com/live/rx3/402/733039a795cd903623dd9c87385ee32b/index.m3u8
🌲️松視2台, http://18.svi-studio.com:8880/live/917952932058/953281067271/6.m3u8
🌲️松視2台, http://z02.ubtvfans.com/live/rx3/403/9b7b6ffe613ab14cdcc993d8c28aa042/index.m3u8
🌲️松視3台, http://18.svi-studio.com:8880/live/271871095922/006886711863/20205.m3u8
🌲️松視3台, http://z02.ubtvfans.com/live/rx3/404/48745975c4b72ccc24ebd4d91afd641a/index.m3u8
🍌️香蕉台, http://18.svi-studio.com:8880/live/624372101145/418430465490/4.m3u8
🍌️香蕉台, http://125.227.210.55:8159/VideoInput/play.ts
🍌️香蕉台, http://z02.ubtvfans.com/live/rx3/2930/3bd19ceb41bccf7790ee168b92b69985/index.m3u8
🔞彩虹E, https://z02.ubtvfans.com/live/rx3/406/6a7f30cbbe921e9a6809d4a8c131aef1/index.m3u8
🔞K 頻道, https://z02.ubtvfans.com/live/rx3/415/24833f79298189b7d1b60e9d59af0018/index.m3u8
🔞Happy TV,http://z02.ubtvfans.com/live/rx3/2908/0f506ec82f9fff8c676e40317aa8886c/index.m3u8
🔞JStar極限台電影頻道,http://z02.ubtvfans.com/live/rx3/405/f72f337b1279855143cddce063a60cd6/index.m3u8
🔞JStar極限台電影頻道,http://z02.ubtvfans.com/live/rx3/2909/164b8735a2a0243396aa17baccd2b100/index.m3u8
🔞奥視, http://125.227.210.55:51359/VideoInput/play.ts
🔞奥視2, http://125.227.210.55:55643/VideoInput/play.ts
🔞奥視3, http://125.227.210.55:8917/VideoInput/play.ts
♥️潘朵啦玩美Perfect, http://18.svi-studio.com:8880/live/624372101145/418430465490/3.m3u8
♥️潘朵啦玩美Perfect, http://z02.ubtvfans.com/live/rx3/410/415bdc67f1b4040b4983963911f2485b/index.m3u8
♥️驚豔台, http://18.svi-studio.com:8880/live/908957700097/132663288386/1.m3u8
♥️驚豔台, http://125.227.210.55:8156/VideoInput/play.ts
♥️驚豔台, http://z02.ubtvfans.com/live/rx4/2931/7c12850fabf63e33a259f6ec35b0e8d1/index.m3u8
💖Sex❌Girl, http://125.227.210.55:62698/VideoInput/play.ts

俄罗斯,#genre#
Русская,http://188.113.190.15/318/tracks-v1a1/index.m3u8

欧美(稳定),#genre#
🔞 Erox, http://88.212.7.11/live/test_erox_hd_hevc/playlist.m3u8
🔞 Eroxxx, http://88.212.7.11/live/test_eroxxx_hd_hevc/playlist.m3u8
🔞 ExtasyHD, http://88.212.7.11/live/test_extasy_hd_hevc/playlist.m3u8
🔞 DorcelHD, http://88.212.7.11/live/test_dorcel_hd_hevc/playlist.m3u8
🔞 Brazzers, http://88.212.7.11/live/test_brazzers_hd_hevc/playlist.m3u8
🔞 DesireHD, http://88.212.7.11/live/test_desire_hd_hevc/playlist.m3u8
🔞 PlayboyHD, http://190.11.225.124:5000/live/playboy_hd/playlist.m3u8
🔞 SexyTV, https://is.gd/knTPaV
🔞 Кино 18+ International, https://is.gd/YXMfyu

新世界
HUSTLE HD, http://cdnx1.plusx.tv:8880/345/mono.m3u8?token=0e318668ba9b1d41dd3333
